"Hora del RTC DS3231	 Temperatura	 Índice UV	 Rango"
"Hora: 9:40:20	 - Temperatura: 32	 - Índice UV 1	 - Rango: 133"
"Hora: 9:40:21	 - Temperatura: 32	 - Índice UV 1	 - Rango: 119"
"Hora: 9:40:22	 - Temperatura: 32	 - Índice UV 1	 - Rango: 158"
"Hora: 9:40:23	 - Temperatura: 32	 - Índice UV 1	 - Rango: 151"
"Hora: 9:40:24	 - Temperatura: 32	 - Índice UV 1	 - Rango: 153"
"Hora: 9:40:25	 - Temperatura: 32	 - Índice UV 1	 - Rango: 125"
"Hora: 9:40:26	 - Temperatura: 32	 - Índice UV 1	 - Rango: 193"
"Hora: 9:40:27	 - Temperatura: 32	 - Índice UV 1	 - Rango: 187"
"Hora: 9:40:28	 - Temperatura: 32	 - Índice UV 2	 - Rango: 227"
"Hora: 9:40:29	 - Temperatura: 32	 - Índice UV 2	 - Rango: 206"
"Hora: 9:40:30	 - Temperatura: 31	 - Índice UV 1	 - Rango: 202"
"Hora: 9:40:31	 - Temperatura: 32	 - Índice UV 1	 - Rango: 195"
"Hora: 9:40:32	 - Temperatura: 32	 - Índice UV 0	 - Rango: 93"
"Hora: 9:40:33	 - Temperatura: 32	 - Índice UV 0	 - Rango: 80"
"Hora: 9:40:34	 - Temperatura: 32	 - Índice UV 0	 - Rango: 66"
"Hora: 9:40:35	 - Temperatura: 32	 - Índice UV 1	 - Rango: 130"
"Hora: 9:40:36	 - Temperatura: 32	 - Índice UV 1	 - Rango: 173"
"Hora: 9:40:37	 - Temperatura: 32	 - Índice UV 1	 - Rango: 177"
"Hora: 9:40:38	 - Temperatura: 32	 - Índice UV 1	 - Rango: 175"
"Hora: 9:40:39	 - Temperatura: 32	 - Índice UV 1	 - Rango: 175"
"Hora: 9:40:40	 - Temperatura: 32	 - Índice UV 1	 - Rango: 151"
"Hora: 9:40:41	 - Temperatura: 32	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:42	 - Temperatura: 32	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:43	 - Temperatura: 32	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:44	 - Temperatura: 32	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:45	 - Temperatura: 32	 - Índice UV 1	 - Rango: 124"
"Hora: 9:40:46	 - Temperatura: 31	 - Índice UV 1	 - Rango: 172"
"Hora: 9:40:47	 - Temperatura: 31	 - Índice UV 1	 - Rango: 175"
"Hora: 9:40:48	 - Temperatura: 31	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:49	 - Temperatura: 31	 - Índice UV 1	 - Rango: 176"
"Hora: 9:40:50	 - Temperatura: 31	 - Índice UV 1	 - Rango: 175"
"Hora: 9:40:51	 - Temperatura: 32	 - Índice UV 1	 - Rango: 175"
"Hora: 9:40:52	 - Temperatura: 32	 - Índice UV 1	 - Rango: 174"
"Hora: 9:40:53	 - Temperatura: 32	 - Índice UV 1	 - Rango: 125"
"Hora: 9:40:54	 - Temperatura: 32	 - Índice UV 0	 - Rango: 77"
"Hora: 9:40:55	 - Temperatura: 32	 - Índice UV 1	 - Rango: 163"
"Hora: 9:40:56	 - Temperatura: 32	 - Índice UV 1	 - Rango: 155"
"Hora: 9:40:57	 - Temperatura: 32	 - Índice UV 0	 - Rango: 23"
"Hora: 9:40:58	 - Temperatura: 32	 - Índice UV 0	 - Rango: 80"
"Hora: 9:40:59	 - Temperatura: 32	 - Índice UV 1	 - Rango: 159"
"Hora: 9:41:0	 - Temperatura: 32	 - Índice UV 2	 - Rango: 235"
"Hora: 9:41:1	 - Temperatura: 32	 - Índice UV 0	 - Rango: 59"
"Hora: 9:41:2	 - Temperatura: 32	 - Índice UV 0	 - Rango: 54"
"Hora: 9:41:3	 - Temperatura: 32	 - Índice UV 0	 - Rango: 52"
"Hora: 9:41:4	 - Temperatura: 32	 - Índice UV 0	 - Rango: 62"
"Hora: 9:41:5	 - Temperatura: 32	 - Índice UV 1	 - Rango: 154"
"Hora: 9:41:6	 - Temperatura: 32	 - Índice UV 1	 - Rango: 173"
"Hora: 9:41:7	 - Temperatura: 32	 - Índice UV 1	 - Rango: 169"
"Hora: 9:41:8	 - Temperatura: 32	 - Índice UV 0	 - Rango: 13"
"Hora: 9:41:9	 - Temperatura: 32	 - Índice UV 0	 - Rango: 70"
"Hora: 9:41:10	 - Temperatura: 32	 - Índice UV 0	 - Rango: 39"
"Hora: 9:41:11	 - Temperatura: 32	 - Índice UV 0	 - Rango: 0"
"Hora: 9:41:12	 - Temperatura: 32	 - Índice UV 0	 - Rango: 15"
"Hora: 9:41:13	 - Temperatura: 32	 - Índice UV 1	 - Rango: 202"
"Hora: 9:41:14	 - Temperatura: 32	 - Índice UV 1	 - Rango: 194"
"Hora: 9:41:15	 - Temperatura: 32	 - Índice UV 1	 - Rango: 201"
"Hora: 9:41:16	 - Temperatura: 32	 - Índice UV 1	 - Rango: 204"
"Hora: 9:41:17	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:41:18	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:41:19	 - Temperatura: 32	 - Índice UV 2	 - Rango: 207"
"Hora: 9:41:20	 - Temperatura: 32	 - Índice UV 1	 - Rango: 195"
"Hora: 9:41:21	 - Temperatura: 32	 - Índice UV 2	 - Rango: 221"
"Hora: 9:41:22	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:41:23	 - Temperatura: 32	 - Índice UV 2	 - Rango: 212"
"Hora: 9:41:24	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:41:25	 - Temperatura: 32	 - Índice UV 2	 - Rango: 221"
"Hora: 9:41:26	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:41:27	 - Temperatura: 32	 - Índice UV 2	 - Rango: 223"
"Hora: 9:41:28	 - Temperatura: 32	 - Índice UV 2	 - Rango: 219"
"Hora: 9:41:29	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:41:30	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:41:32	 - Temperatura: 32	 - Índice UV 1	 - Rango: 199"
"Hora: 9:41:33	 - Temperatura: 32	 - Índice UV 2	 - Rango: 216"
"Hora: 9:41:34	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:41:35	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:41:36	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:41:37	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:41:38	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:41:39	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:41:40	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:41:41	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:41:42	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:41:43	 - Temperatura: 32	 - Índice UV 1	 - Rango: 194"
"Hora: 9:41:44	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:41:45	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:41:46	 - Temperatura: 31	 - Índice UV 2	 - Rango: 216"
"Hora: 9:41:47	 - Temperatura: 31	 - Índice UV 2	 - Rango: 212"
"Hora: 9:41:48	 - Temperatura: 31	 - Índice UV 1	 - Rango: 193"
"Hora: 9:41:49	 - Temperatura: 31	 - Índice UV 1	 - Rango: 153"
"Hora: 9:41:50	 - Temperatura: 32	 - Índice UV 0	 - Rango: 44"
"Hora: 9:41:51	 - Temperatura: 32	 - Índice UV 0	 - Rango: 29"
"Hora: 9:41:52	 - Temperatura: 32	 - Índice UV 0	 - Rango: 36"
"Hora: 9:41:53	 - Temperatura: 32	 - Índice UV 0	 - Rango: 37"
"Hora: 9:41:54	 - Temperatura: 32	 - Índice UV 2	 - Rango: 237"
"Hora: 9:41:55	 - Temperatura: 32	 - Índice UV 1	 - Rango: 204"
"Hora: 9:41:56	 - Temperatura: 32	 - Índice UV 2	 - Rango: 235"
"Hora: 9:41:57	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:41:58	 - Temperatura: 32	 - Índice UV 1	 - Rango: 154"
"Hora: 9:41:59	 - Temperatura: 31	 - Índice UV 0	 - Rango: 100"
"Hora: 9:42:0	 - Temperatura: 32	 - Índice UV 2	 - Rango: 234"
"Hora: 9:42:1	 - Temperatura: 32	 - Índice UV 0	 - Rango: 73"
"Hora: 9:42:2	 - Temperatura: 32	 - Índice UV 0	 - Rango: 39"
"Hora: 9:42:3	 - Temperatura: 32	 - Índice UV 0	 - Rango: 38"
"Hora: 9:42:4	 - Temperatura: 32	 - Índice UV 1	 - Rango: 117"
"Hora: 9:42:5	 - Temperatura: 32	 - Índice UV 0	 - Rango: 0"
"Hora: 9:42:6	 - Temperatura: 32	 - Índice UV 0	 - Rango: 13"
"Hora: 9:42:7	 - Temperatura: 32	 - Índice UV 0	 - Rango: 14"
"Hora: 9:42:8	 - Temperatura: 32	 - Índice UV 2	 - Rango: 227"
"Hora: 9:42:9	 - Temperatura: 31	 - Índice UV 1	 - Rango: 173"
"Hora: 9:42:10	 - Temperatura: 31	 - Índice UV 1	 - Rango: 156"
"Hora: 9:42:11	 - Temperatura: 31	 - Índice UV 0	 - Rango: 54"
"Hora: 9:42:12	 - Temperatura: 31	 - Índice UV 2	 - Rango: 237"
"Hora: 9:42:13	 - Temperatura: 32	 - Índice UV 2	 - Rango: 251"
"Hora: 9:42:14	 - Temperatura: 32	 - Índice UV 2	 - Rango: 237"
"Hora: 9:42:15	 - Temperatura: 32	 - Índice UV 2	 - Rango: 240"
"Hora: 9:42:16	 - Temperatura: 32	 - Índice UV 2	 - Rango: 241"
"Hora: 9:42:17	 - Temperatura: 32	 - Índice UV 2	 - Rango: 242"
"Hora: 9:42:18	 - Temperatura: 32	 - Índice UV 2	 - Rango: 245"
"Hora: 9:42:19	 - Temperatura: 32	 - Índice UV 2	 - Rango: 244"
"Hora: 9:42:20	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:42:21	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:42:22	 - Temperatura: 32	 - Índice UV 2	 - Rango: 234"
"Hora: 9:42:23	 - Temperatura: 32	 - Índice UV 2	 - Rango: 238"
"Hora: 9:42:24	 - Temperatura: 32	 - Índice UV 2	 - Rango: 241"
"Hora: 9:42:25	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:42:26	 - Temperatura: 32	 - Índice UV 2	 - Rango: 224"
"Hora: 9:42:27	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:42:28	 - Temperatura: 32	 - Índice UV 2	 - Rango: 227"
"Hora: 9:42:29	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:42:30	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:42:31	 - Temperatura: 32	 - Índice UV 1	 - Rango: 194"
"Hora: 9:42:32	 - Temperatura: 32	 - Índice UV 2	 - Rango: 219"
"Hora: 9:42:33	 - Temperatura: 32	 - Índice UV 0	 - Rango: 71"
"Hora: 9:42:34	 - Temperatura: 32	 - Índice UV 2	 - Rango: 241"
"Hora: 9:42:35	 - Temperatura: 32	 - Índice UV 2	 - Rango: 223"
"Hora: 9:42:36	 - Temperatura: 32	 - Índice UV 2	 - Rango: 228"
"Hora: 9:42:37	 - Temperatura: 32	 - Índice UV 2	 - Rango: 209"
"Hora: 9:42:38	 - Temperatura: 31	 - Índice UV 2	 - Rango: 209"
"Hora: 9:42:39	 - Temperatura: 31	 - Índice UV 2	 - Rango: 212"
"Hora: 9:42:40	 - Temperatura: 31	 - Índice UV 1	 - Rango: 199"
"Hora: 9:42:41	 - Temperatura: 31	 - Índice UV 1	 - Rango: 201"
"Hora: 9:42:42	 - Temperatura: 31	 - Índice UV 1	 - Rango: 142"
"Hora: 9:42:43	 - Temperatura: 31	 - Índice UV 1	 - Rango: 165"
"Hora: 9:42:44	 - Temperatura: 31	 - Índice UV 2	 - Rango: 218"
"Hora: 9:42:45	 - Temperatura: 31	 - Índice UV 2	 - Rango: 216"
"Hora: 9:42:46	 - Temperatura: 32	 - Índice UV 0	 - Rango: 56"
"Hora: 9:42:47	 - Temperatura: 32	 - Índice UV 0	 - Rango: 34"
"Hora: 9:42:48	 - Temperatura: 32	 - Índice UV 0	 - Rango: 14"
"Hora: 9:42:49	 - Temperatura: 32	 - Índice UV 1	 - Rango: 189"
"Hora: 9:42:50	 - Temperatura: 31	 - Índice UV 0	 - Rango: 70"
"Hora: 9:42:51	 - Temperatura: 32	 - Índice UV 1	 - Rango: 117"
"Hora: 9:42:52	 - Temperatura: 32	 - Índice UV 1	 - Rango: 191"
"Hora: 9:42:53	 - Temperatura: 32	 - Índice UV 1	 - Rango: 123"
"Hora: 9:42:54	 - Temperatura: 32	 - Índice UV 1	 - Rango: 125"
"Hora: 9:42:55	 - Temperatura: 32	 - Índice UV 1	 - Rango: 165"
"Hora: 9:42:56	 - Temperatura: 32	 - Índice UV 1	 - Rango: 115"
"Hora: 9:42:57	 - Temperatura: 32	 - Índice UV 1	 - Rango: 189"
"Hora: 9:42:58	 - Temperatura: 32	 - Índice UV 1	 - Rango: 169"
"Hora: 9:42:59	 - Temperatura: 32	 - Índice UV 2	 - Rango: 231"
"Hora: 9:43:0	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:43:1	 - Temperatura: 32	 - Índice UV 2	 - Rango: 221"
"Hora: 9:43:3	 - Temperatura: 31	 - Índice UV 2	 - Rango: 216"
"Hora: 9:43:4	 - Temperatura: 32	 - Índice UV 1	 - Rango: 202"
"Hora: 9:43:5	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:43:6	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:43:7	 - Temperatura: 32	 - Índice UV 2	 - Rango: 212"
"Hora: 9:43:8	 - Temperatura: 32	 - Índice UV 1	 - Rango: 203"
"Hora: 9:43:9	 - Temperatura: 32	 - Índice UV 1	 - Rango: 199"
"Hora: 9:43:10	 - Temperatura: 32	 - Índice UV 1	 - Rango: 200"
"Hora: 9:43:11	 - Temperatura: 32	 - Índice UV 2	 - Rango: 219"
"Hora: 9:43:12	 - Temperatura: 32	 - Índice UV 1	 - Rango: 165"
"Hora: 9:43:13	 - Temperatura: 32	 - Índice UV 1	 - Rango: 202"
"Hora: 9:43:14	 - Temperatura: 32	 - Índice UV 1	 - Rango: 192"
"Hora: 9:43:15	 - Temperatura: 31	 - Índice UV 0	 - Rango: 17"
"Hora: 9:43:16	 - Temperatura: 32	 - Índice UV 1	 - Rango: 201"
"Hora: 9:43:17	 - Temperatura: 32	 - Índice UV 1	 - Rango: 197"
"Hora: 9:43:18	 - Temperatura: 32	 - Índice UV 1	 - Rango: 174"
"Hora: 9:43:19	 - Temperatura: 32	 - Índice UV 1	 - Rango: 172"
"Hora: 9:43:20	 - Temperatura: 32	 - Índice UV 2	 - Rango: 208"
"Hora: 9:43:21	 - Temperatura: 32	 - Índice UV 1	 - Rango: 188"
"Hora: 9:43:22	 - Temperatura: 31	 - Índice UV 0	 - Rango: 46"
"Hora: 9:43:23	 - Temperatura: 32	 - Índice UV 1	 - Rango: 138"
"Hora: 9:43:24	 - Temperatura: 32	 - Índice UV 1	 - Rango: 157"
"Hora: 9:43:25	 - Temperatura: 32	 - Índice UV 1	 - Rango: 154"
"Hora: 9:43:26	 - Temperatura: 32	 - Índice UV 1	 - Rango: 148"
"Hora: 9:43:27	 - Temperatura: 32	 - Índice UV 1	 - Rango: 141"
"Hora: 9:43:28	 - Temperatura: 32	 - Índice UV 1	 - Rango: 150"
"Hora: 9:43:29	 - Temperatura: 32	 - Índice UV 1	 - Rango: 154"
"Hora: 9:43:30	 - Temperatura: 32	 - Índice UV 1	 - Rango: 160"
"Hora: 9:43:31	 - Temperatura: 32	 - Índice UV 1	 - Rango: 154"
"Hora: 9:43:32	 - Temperatura: 32	 - Índice UV 1	 - Rango: 150"
"Hora: 9:43:33	 - Temperatura: 32	 - Índice UV 1	 - Rango: 149"
"Hora: 9:43:34	 - Temperatura: 32	 - Índice UV 1	 - Rango: 142"
"Hora: 9:43:35	 - Temperatura: 32	 - Índice UV 1	 - Rango: 149"
"Hora: 9:43:36	 - Temperatura: 32	 - Índice UV 1	 - Rango: 146"
"Hora: 9:43:37	 - Temperatura: 32	 - Índice UV 1	 - Rango: 143"
"Hora: 9:43:38	 - Temperatura: 32	 - Índice UV 1	 - Rango: 140"
"Hora: 9:43:39	 - Temperatura: 32	 - Índice UV 1	 - Rango: 154"
"Hora: 9:43:40	 - Temperatura: 32	 - Índice UV 1	 - Rango: 154"
"Hora: 9:43:41	 - Temperatura: 32	 - Índice UV 0	 - Rango: 30"
"Hora: 9:43:42	 - Temperatura: 32	 - Índice UV 0	 - Rango: 30"
"Hora: 9:43:43	 - Temperatura: 32	 - Índice UV 0	 - Rango: 22"
"Hora: 9:43:44	 - Temperatura: 32	 - Índice UV 1	 - Rango: 111"
"Hora: 9:43:45	 - Temperatura: 32	 - Índice UV 1	 - Rango: 142"
"Hora: 9:43:46	 - Temperatura: 32	 - Índice UV 1	 - Rango: 120"
"Hora: 9:43:47	 - Temperatura: 32	 - Índice UV 1	 - Rango: 103"
"Hora: 9:43:48	 - Temperatura: 32	 - Índice UV 1	 - Rango: 138"
"Hora: 9:43:49	 - Temperatura: 32	 - Índice UV 1	 - Rango: 113"
"Hora: 9:43:50	 - Temperatura: 32	 - Índice UV 1	 - Rango: 149"
"Hora: 9:43:51	 - Temperatura: 32	 - Índice UV 0	 - Rango: 79"
"Hora: 9:43:52	 - Temperatura: 32	 - Índice UV 0	 - Rango: 59"
"Hora: 9:43:53	 - Temperatura: 32	 - Índice UV 0	 - Rango: 35"
"Hora: 9:43:54	 - Temperatura: 32	 - Índice UV 0	 - Rango: 63"
"Hora: 9:43:55	 - Temperatura: 32	 - Índice UV 0	 - Rango: 44"
"Hora: 9:43:56	 - Temperatura: 32	 - Índice UV 0	 - Rango: 43"
"Hora: 9:43:57	 - Temperatura: 32	 - Índice UV 0	 - Rango: 34"
"Hora: 9:43:58	 - Temperatura: 32	 - Índice UV 0	 - Rango: 44"
"Hora: 9:43:59	 - Temperatura: 32	 - Índice UV 0	 - Rango: 35"
"Hora: 9:44:0	 - Temperatura: 32	 - Índice UV 0	 - Rango: 47"
"Hora: 9:44:1	 - Temperatura: 32	 - Índice UV 0	 - Rango: 45"
"Hora: 9:44:2	 - Temperatura: 32	 - Índice UV 0	 - Rango: 46"
"Hora: 9:44:3	 - Temperatura: 32	 - Índice UV 0	 - Rango: 46"
"Hora: 9:44:4	 - Temperatura: 32	 - Índice UV 0	 - Rango: 46"
"Hora: 9:44:5	 - Temperatura: 32	 - Índice UV 0	 - Rango: 46"
"Hora: 9:44:6	 - Temperatura: 32	 - Índice UV 0	 - Rango: 45"
"Hora: 9:44:7	 - Temperatura: 32	 - Índice UV 0	 - Rango: 35"
"Hora: 9:44:8	 - Temperatura: 32	 - Índice UV 0	 - Rango: 46"
"Hora: 9:44:9	 - Temperatura: 32	 - Índice UV 0	 - Rango: 44"
"Hora: 9:44:10	 - Temperatura: 32	 - Índice UV 0	 - Rango: 43"
"Hora: 9:44:11	 - Temperatura: 32	 - Índice UV 0	 - Rango: 29"
"Hora: 9:44:12	 - Temperatura: 32	 - Índice UV 0	 - Rango: 42"
"Hora: 9:44:13	 - Temperatura: 32	 - Índice UV 0	 - Rango: 42"
"Hora: 9:44:14	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:44:15	 - Temperatura: 32	 - Índice UV 1	 - Rango: 172"
"Hora: 9:44:16	 - Temperatura: 32	 - Índice UV 1	 - Rango: 182"
"Hora: 9:44:17	 - Temperatura: 32	 - Índice UV 2	 - Rango: 232"
"Hora: 9:44:18	 - Temperatura: 32	 - Índice UV 1	 - Rango: 177"
"Hora: 9:44:19	 - Temperatura: 32	 - Índice UV 2	 - Rango: 233"
"Hora: 9:44:20	 - Temperatura: 32	 - Índice UV 2	 - Rango: 235"
"Hora: 9:44:21	 - Temperatura: 32	 - Índice UV 1	 - Rango: 155"
"Hora: 9:44:22	 - Temperatura: 32	 - Índice UV 0	 - Rango: 92"
"Hora: 9:44:23	 - Temperatura: 32	 - Índice UV 1	 - Rango: 117"
"Hora: 9:44:24	 - Temperatura: 32	 - Índice UV 2	 - Rango: 226"
"Hora: 9:44:25	 - Temperatura: 32	 - Índice UV 0	 - Rango: 84"
"Hora: 9:44:26	 - Temperatura: 32	 - Índice UV 0	 - Rango: 85"
"Hora: 9:44:27	 - Temperatura: 32	 - Índice UV 1	 - Rango: 200"
"Hora: 9:44:28	 - Temperatura: 32	 - Índice UV 1	 - Rango: 199"
"Hora: 9:44:29	 - Temperatura: 32	 - Índice UV 1	 - Rango: 138"
"Hora: 9:44:30	 - Temperatura: 32	 - Índice UV 1	 - Rango: 169"
"Hora: 9:44:31	 - Temperatura: 32	 - Índice UV 1	 - Rango: 200"
"Hora: 9:44:32	 - Temperatura: 32	 - Índice UV 1	 - Rango: 123"
"Hora: 9:44:34	 - Temperatura: 32	 - Índice UV 0	 - Rango: 77"
"Hora: 9:44:35	 - Temperatura: 32	 - Índice UV 0	 - Rango: 88"
"Hora: 9:44:36	 - Temperatura: 32	 - Índice UV 0	 - Rango: 68"
"Hora: 9:44:37	 - Temperatura: 32	 - Índice UV 0	 - Rango: 91"
"Hora: 9:44:38	 - Temperatura: 32	 - Índice UV 0	 - Rango: 68"
"Hora: 9:44:39	 - Temperatura: 32	 - Índice UV 0	 - Rango: 78"
"Hora: 9:44:40	 - Temperatura: 32	 - Índice UV 1	 - Rango: 177"
"Hora: 9:44:41	 - Temperatura: 32	 - Índice UV 1	 - Rango: 190"
"Hora: 9:44:42	 - Temperatura: 32	 - Índice UV 1	 - Rango: 164"
"Hora: 9:44:43	 - Temperatura: 32	 - Índice UV 2	 - Rango: 208"
"Hora: 9:44:44	 - Temperatura: 32	 - Índice UV 1	 - Rango: 124"
"Hora: 9:44:45	 - Temperatura: 32	 - Índice UV 1	 - Rango: 180"
"Hora: 9:44:46	 - Temperatura: 32	 - Índice UV 1	 - Rango: 138"
"Hora: 9:44:47	 - Temperatura: 32	 - Índice UV 1	 - Rango: 145"
"Hora: 9:44:48	 - Temperatura: 32	 - Índice UV 1	 - Rango: 197"
"Hora: 9:44:49	 - Temperatura: 32	 - Índice UV 1	 - Rango: 198"
"Hora: 9:44:50	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:44:51	 - Temperatura: 32	 - Índice UV 0	 - Rango: 79"
"Hora: 9:44:52	 - Temperatura: 32	 - Índice UV 1	 - Rango: 194"
"Hora: 9:44:53	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:44:54	 - Temperatura: 32	 - Índice UV 2	 - Rango: 221"
"Hora: 9:44:55	 - Temperatura: 32	 - Índice UV 0	 - Rango: 102"
"Hora: 9:44:56	 - Temperatura: 32	 - Índice UV 1	 - Rango: 190"
"Hora: 9:44:57	 - Temperatura: 32	 - Índice UV 2	 - Rango: 214"
"Hora: 9:44:58	 - Temperatura: 32	 - Índice UV 1	 - Rango: 203"
"Hora: 9:44:59	 - Temperatura: 32	 - Índice UV 1	 - Rango: 146"
"Hora: 9:45:0	 - Temperatura: 32	 - Índice UV 1	 - Rango: 198"
"Hora: 9:45:1	 - Temperatura: 32	 - Índice UV 2	 - Rango: 225"
"Hora: 9:45:2	 - Temperatura: 32	 - Índice UV 1	 - Rango: 180"
"Hora: 9:45:3	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:45:4	 - Temperatura: 32	 - Índice UV 2	 - Rango: 224"
"Hora: 9:45:5	 - Temperatura: 32	 - Índice UV 2	 - Rango: 223"
"Hora: 9:45:6	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:45:7	 - Temperatura: 32	 - Índice UV 2	 - Rango: 221"
"Hora: 9:45:8	 - Temperatura: 32	 - Índice UV 2	 - Rango: 222"
"Hora: 9:45:9	 - Temperatura: 32	 - Índice UV 2	 - Rango: 221"
"Hora: 9:45:10	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:45:11	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:45:12	 - Temperatura: 32	 - Índice UV 2	 - Rango: 219"
"Hora: 9:45:13	 - Temperatura: 32	 - Índice UV 2	 - Rango: 221"
"Hora: 9:45:14	 - Temperatura: 32	 - Índice UV 2	 - Rango: 218"
"Hora: 9:45:15	 - Temperatura: 32	 - Índice UV 2	 - Rango: 215"
"Hora: 9:45:16	 - Temperatura: 32	 - Índice UV 2	 - Rango: 208"
"Hora: 9:45:17	 - Temperatura: 32	 - Índice UV 2	 - Rango: 213"
"Hora: 9:45:18	 - Temperatura: 32	 - Índice UV 1	 - Rango: 193"
"Hora: 9:45:19	 - Temperatura: 32	 - Índice UV 2	 - Rango: 211"
"Hora: 9:45:20	 - Temperatura: 32	 - Índice UV 2	 - Rango: 219"
"Hora: 9:45:21	 - Temperatura: 32	 - Índice UV 2	 - Rango: 217"
"Hora: 9:45:22	 - Temperatura: 32	 - Índice UV 2	 - Rango: 220"
"Hora: 9:45:23	 - Temperatura: 32	 - Índice UV 2	 - Rango: 211"
"Hora: 9:45:24	 - Temperatura: 32	 - Índice UV 2	 - Rango: 214"
"Hora: 9:45:25	 - Temperatura: 32	 - Índice UV 1	 - Rango: 203"
"Hora: 9:45:26	 - Temperatura: 32	 - Índice UV 2	 - Rango: 213"
"Hora: 9:45:27	 - Temperatura: 32	 - Índice UV 2	 - Rango: 206"
